,e,mu,tau,u,d,s,c,b,t,nu1,nu2,nu3
e,1.000000000000,1.002358984000,1.004723532805,0.998822590708,0.998116810658,1.000942926662,1.009469377373,1.014237639093,1.019028423853,0.997646567709,1.000000000000,1.002358984000
mu,0.997646567709,1.000000000000,1.002358984000,0.996471929371,0.995767810326,0.998587275257,1.007093659544,1.011850699482,1.016630209456,0.995298674062,0.997646567709,1.000000000000
tau,0.995298674062,0.997646567709,1.000000000000,0.994126800155,0.993424338207,0.996237167719,1.004723532805,1.009469377373,1.014237639093,0.992956306023,0.995298674062,0.997646567709
u,1.001178797219,1.003540561982,1.005907898111,1.000000000000,0.999293387978,1.002122835400,1.010659337067,1.015433219601,1.020229651725,0.998822590708,1.001178797219,1.003540561982
d,1.001886742435,1.004250177230,1.006619187330,1.000707111675,1.000000000000,1.002831448157,1.011373986084,1.016151244286,1.020951068023,0.999528869824,1.001886742435,1.004250177230
s,0.999057961611,1.001414723357,1.003777044667,0.997881661484,0.997176546306,1.000000000000,1.008518418467,1.013282188301,1.018068459959,0.996706746344,0.999057961611,1.001414723357
c,0.990619450590,0.992956306023,0.995298674062,0.989453086044,0.988753926598,0.991553532082,1.000000000000,1.004723532805,1.009469377373,0.988288094787,0.990619450590,0.992956306023
b,0.985962225672,0.988288094787,0.990619450590,0.984801344586,0.984105472117,0.986891915742,0.995298674062,1.000000000000,1.004723532805,0.983641830332,0.985962225672,0.988288094787
t,0.981326895886,0.983641830332,0.985962225672,0.980171472481,0.979478871535,0.982252215181,0.990619450590,0.995298674062,1.000000000000,0.979017409482,0.981326895886,0.983641830332
nu1,1.002358984000,1.004723532805,1.007093659544,1.001178797219,1.000471352245,1.003304135011,1.011850699482,1.016630209456,1.021432295601,1.000000000000,1.002358984000,1.004723532805
nu2,1.000000000000,1.002358984000,1.004723532805,0.998822590708,0.998116810658,1.000942926662,1.009469377373,1.014237639093,1.019028423853,0.997646567709,1.000000000000,1.002358984000
nu3,0.997646567709,1.000000000000,1.002358984000,0.996471929371,0.995767810326,0.998587275257,1.007093659544,1.011850699482,1.016630209456,0.995298674062,0.997646567709,1.000000000000
